label,seed,strategy,avg_retr,resp_p50,resp_p95,util,n_down,fails,viol
base:canonical,2026,seq,19.422934023925457,134.89645392716375,917.9616137053558,0.49015726602977344,1,0,0
base:canonical,2026,near,11.757961524729913,110.88475413549531,854.3472939499615,0.4906689998410704,1,0,0
base:canonical,2026,score,11.287552847860265,108.47579189265889,862.6665817615317,0.49048206705889,1,0,0
base:canonical,2026,awra,10.740850585273417,105.33095206121652,679.841850356073,0.4913056154876704,1,0,0
base:canonical,2027,seq,21.11765946629594,109.83333333333348,507.12448077636327,0.5245289628686077,1,0,0
base:canonical,2027,near,11.955387249970661,71.33333333333303,190.7377963914132,0.524407279073097,0,0,0
base:canonical,2027,score,11.62703001551502,70.26153656360884,193.06585324796742,0.5242704280108526,0,0,0
base:canonical,2027,awra,10.521125156460284,67.65788865366994,180.26723477886208,0.5245202600250076,0,0,0
base:canonical,2028,seq,20.952695571713633,111.0,265.69030363271844,0.4558532137479287,0,0,0
base:canonical,2028,near,11.523569196951849,72.26153656360839,189.95419084232935,0.45644709427238644,0,0,0
base:canonical,2028,score,11.033982821178142,73.33333333333394,175.62028512417555,0.4562531766664697,0,0,0
base:canonical,2028,awra,10.6195045405319,70.81664810688108,230.37113278007746,0.4562189548458762,0,0,0
base:canonical,2029,seq,20.69726113346808,163.4720689628557,756.2765904693865,0.5331697733239709,1,0,0
base:canonical,2029,near,11.890566546324228,156.85812750716468,668.4516406752623,0.5334030246586314,1,0,0
base:canonical,2029,score,11.165831533236231,133.1915523841035,605.6021346676375,0.5330108018795198,1,0,0
base:canonical,2029,awra,10.741096509672488,148.98554145464277,618.2219567877721,0.5333407084419755,1,0,0
base:canonical,2030,seq,20.862337945110802,582.7020718119056,2048.3526524435465,0.5542364901800494,5,0,0
base:canonical,2030,near,11.469415172933807,280.61113534941956,857.8288877078285,0.5262759035002058,4,0,0
base:canonical,2030,score,10.985052432450125,245.8112602309884,787.1856248977656,0.55386262942652,3,0,0
base:canonical,2030,awra,10.526490367591299,269.91297403544036,823.003988887232,0.5543689010354165,3,0,0
base:canonical,2031,seq,18.885464222057973,144.0346758124188,652.168793882216,0.5518653936613204,2,0,0
base:canonical,2031,near,11.30192466942541,127.80343377428528,325.4180544704675,0.5653774224512472,1,0,0
base:canonical,2031,score,10.913082197238815,120.06891528254454,334.0925312932177,0.5654876457793528,1,0,0
base:canonical,2031,awra,10.860231865215148,123.94145598815055,543.3164164459085,0.5644833702984394,1,0,0
base:canonical,2032,seq,18.79037579293742,176.46268392727654,2530.25145727018,0.4507793949503552,4,0,0
base:canonical,2032,near,11.773088022903975,176.31962550381712,1722.0626725612356,0.4503262014378225,4,0,0
base:canonical,2032,score,10.986264621778265,173.81202348323734,1562.4292049499336,0.45053890155871956,4,0,0
base:canonical,2032,awra,11.005683733008894,133.75882342571276,1459.8543762878867,0.4500900761357455,4,0,0
base:canonical,2033,seq,20.499360092836433,111.0,249.07356453193006,0.45148738915155373,1,0,0
base:canonical,2033,near,11.626586118930307,72.83333333333394,160.30107422624997,0.4508662554760039,0,0,0
base:canonical,2033,score,11.546695665114443,73.12311549870356,177.94974914771137,0.45090880466438416,0,0,0
base:canonical,2033,awra,10.926492457162821,68.16176045807947,164.18493280960047,0.45140009272780385,0,0,0
base:canonical,2034,seq,21.550192023703847,111.0,692.816648106882,0.43531177541143334,3,0,0
base:canonical,2034,near,12.373329108693673,72.33333333333394,451.34410892044434,0.4311514543922945,2,0,0
base:canonical,2034,score,11.996946470500454,69.65788865366994,452.45457363665446,0.4310117791552495,2,0,0
base:canonical,2034,awra,10.846082952591958,70.82742827874245,652.6666666666661,0.42430387308510753,2,0,0
base:canonical,2035,seq,21.46242746267772,319.4121939601898,1354.4406486845323,0.4495826754091966,3,0,0
base:canonical,2035,near,10.978271837634153,222.81037798457112,853.3746582038818,0.44939374668395843,1,0,0
base:canonical,2035,score,10.485392245905544,224.53532460954182,804.7766424171778,0.4499336555763873,1,0,0
base:canonical,2035,awra,10.809719467826515,125.96167911682551,656.2323128189,0.4499470006981653,1,0,0
base:canonical,2036,seq,19.09684112441088,205.87087674293934,1954.699548225748,0.5401165349822887,5,0,0
