scene,case,rule,goods,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
main,skew,sum,120,999,random,120,0,4782.0,22.1428,23.5833,6.5,44731.1,8.753,4580.0,0.6325,0
main,skew,sum,120,999,seq,120,0,4529.0,19.9372,20.375,5.2917,44262.5,8.6613,3208.0,0.6325,0
main,skew,sum,120,999,near,120,0,2196.0,9.415,9.625,3.7083,19648.6,3.8448,3240.0,0.6325,0
main,skew,sum,120,999,score,120,0,2240.0,8.7779,8.3542,3.2917,19105.7,3.7386,3226.0,0.6325,0
main,skew,sum,120,999,awra,120,0,2240.0,6.7098,5.1875,0.6667,14426.4,2.8229,3226.0,0.6325,0
main,heavy,sum,120,2026,random,120,0,4221.0,16.8672,15.8125,6.5,54837.9,8.3447,4334.0,0.6325,0
main,heavy,sum,120,2026,seq,120,0,4529.0,19.4734,19.875,5.2917,57856.3,8.804,3208.0,0.6325,0
main,heavy,sum,120,2026,near,120,0,2196.0,9.8193,9.4167,4.0417,25944.1,3.9479,3240.0,0.6325,0
main,heavy,sum,120,2026,score,120,0,2196.0,9.3549,8.2708,4.125,26032.3,3.9613,3240.0,0.6325,0
main,heavy,sum,120,2026,awra,120,0,2196.0,6.1593,4.2083,0.6667,22227.2,3.3823,3240.0,0.6325,0
main,heavy,sum,120,7,random,120,0,4423.0,15.7676,17.0417,6.2917,53643.6,8.5372,4446.0,0.6325,0
main,heavy,sum,120,7,seq,120,0,4592.0,22.4386,18.9167,6.25,56703.6,9.0242,3240.0,0.6325,0
main,heavy,sum,120,7,near,120,0,2196.0,9.7783,10.4583,3.875,25493.7,4.0572,3240.0,0.6325,0
main,heavy,sum,120,7,score,120,0,2196.0,9.0427,9.9167,4.0417,25418.8,4.0453,3240.0,0.6325,0
main,heavy,sum,120,7,awra,120,0,2196.0,5.5804,6.2083,0.5,20055.8,3.1918,3240.0,0.6325,0
main,heavy,sum,120,42,random,120,0,4394.0,19.5537,18.375,6.625,55431.6,8.567,4364.0,0.6325,0
main,heavy,sum,120,42,seq,120,0,4529.0,19.4301,18.25,4.2917,56293.6,8.7002,3208.0,0.6325,0
main,heavy,sum,120,42,near,120,0,2196.0,10.0622,10.7917,4.5417,25732.6,3.977,3240.0,0.6325,0
main,heavy,sum,120,42,score,120,0,2196.0,9.6211,9.875,4.4167,25686.7,3.9699,3240.0,0.6325,0
main,heavy,sum,120,42,awra,120,0,2196.0,6.3655,4.75,0.625,21552.7,3.331,3240.0,0.6325,0
main,heavy,sum,120,123,random,120,0,4437.0,19.0569,17.75,7.375,51482.3,8.9153,4528.0,0.6325,0
main,heavy,sum,120,123,seq,120,0,4529.0,22.0833,21.125,5.7917,51603.8,8.9363,3208.0,0.6325,0
main,heavy,sum,120,123,near,120,0,2196.0,8.2623,8.3542,4.4167,23079.3,3.9967,3240.0,0.6325,0
main,heavy,sum,120,123,score,120,0,2196.0,7.1068,7.875,4.4583,23249.8,4.0262,3240.0,0.6325,0
main,heavy,sum,120,123,awra,120,0,2196.0,5.7486,6.875,0.625,18320.7,3.1726,3240.0,0.6325,0
main,heavy,sum,120,999,random,120,0,4567.0,20.5917,20.7708,7.6667,55700.4,8.8851,4480.0,0.6325,0
main,heavy,sum,120,999,seq,120,0,4529.0,20.5068,21.7083,5.1667,54864.0,8.7516,3208.0,0.6325,0
main,heavy,sum,120,999,near,120,0,2196.0,9.415,9.625,3.4583,24513.2,3.9102,3240.0,0.6325,0
main,heavy,sum,120,999,score,120,0,2196.0,8.7323,8.4375,3.125,24274.9,3.8722,3240.0,0.6325,0
main,heavy,sum,120,999,awra,120,0,2196.0,6.4666,4.7708,0.6667,20543.3,3.277,3240.0,0.6325,0
tight,skew,or,150,2026,random,150,0,5990.0,17.6159,17.4167,7.3,61504.8,9.1834,5892.0,0.9525,0
tight,skew,or,150,2026,seq,150,0,5835.0,19.5763,19.3167,5.2333,56837.0,8.4864,5472.0,0.9525,0
tight,skew,or,150,2026,near,145,5,4996.0,20.3571,19.1552,7.4483,51064.0,8.0712,5234.0,0.94,0
tight,skew,or,150,2026,score,145,5,5060.0,20.2684,18.5,7.2414,50003.5,7.9036,5182.0,0.94,0
tight,skew,or,150,2026,awra,150,0,5384.0,12.9229,12.7333,1.9333,43378.6,6.4769,5478.0,0.9525,0
tight,skew,or,150,7,random,150,0,5783.0,18.1261,20.1333,7.0333,56055.3,8.9077,5780.0,0.9525,0
tight,skew,or,150,7,seq,150,0,5835.0,23.0883,21.3833,6.7333,56594.5,8.9934,5472.0,0.9525,0
tight,skew,or,150,7,near,146,4,5064.0,17.5255,17.431,7.6207,49711.3,8.2906,5276.0,0.9425,0
tight,skew,or,150,7,score,147,3,5188.0,17.0477,17.3793,7.5172,49259.2,8.123,5306.0,0.945,0
tight,skew,or,150,7,awra,150,0,5404.0,11.3316,12.6,2.2,38752.7,6.1582,5490.0,0.9525,0
tight,skew,or,150,42,random,150,0,6049.0,20.3696,20.15,7.2333,61987.2,9.2815,5916.0,0.9525,0
tight,skew,or,150,42,seq,150,0,5835.0,20.8092,21.0833,4.4,58440.9,8.7505,5472.0,0.9525,0
tight,skew,or,150,42,near,143,7,4860.0,18.2703,19.1786,7.0,48994.8,7.967,5160.0,0.935,0
tight,skew,or,150,42,score,143,7,4872.0,18.0757,18.7143,7.0,48890.8,7.9501,5130.0,0.935,0
tight,skew,or,150,42,awra,150,0,5344.0,13.0671,10.4333,2.4,44261.3,6.6273,5458.0,0.9525,0
