cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
401,9.1029,7.8591,7.8591,9.1607,7.9193,7.9193
402,8.9867,7.6751,7.6751,9.0476,7.7386,7.7386
403,9.0395,7.7237,7.7237,9.1006,7.7874,7.7874
404,8.9819,7.6738,7.6738,9.0426,7.7371,7.7371
405,9.0001,7.7038,7.7038,9.0632,7.7696,7.7696
406,9.0,7.69,7.69,9.0602,7.7529,7.7529
407,9.0,7.69,7.69,9.0602,7.7529,7.7529
408,9.0742,7.7453,7.7453,9.1352,7.8091,7.8091
409,9.1076,7.7768,7.7768,9.1687,7.8406,7.8406
410,9.05,8.212,8.212,9.1158,8.2807,8.2807
411,9.0517,8.1071,8.1071,9.1169,8.1751,8.1751
412,9.1186,8.2287,8.2287,9.18,8.2928,8.2928
413,9.1198,8.2433,8.2433,9.1802,8.3064,8.3064
414,9.0755,8.195,8.195,9.1362,8.2584,8.2584
415,9.2516,8.4271,8.4271,9.3084,8.4864,8.4864
416,9.2885,8.4627,8.4627,9.3454,8.5221,8.5221
417,9.3099,8.4655,8.4655,9.3682,8.5263,8.5263
418,9.281,8.4387,8.4387,9.3391,8.4994,8.4994
419,9.2852,8.3966,8.3966,9.3464,8.4605,8.4605
420,9.3516,8.3936,8.3936,9.413,8.4577,8.4577
421,9.2462,8.3508,8.3508,9.3462,8.4534,8.4534
422,9.4144,8.5958,8.5958,9.3878,8.5718,8.5718
423,9.4068,8.67,8.67,9.3799,8.6458,8.6458
424,9.2725,8.0833,8.0833,9.3686,8.182,8.182
425,9.2366,8.0435,8.0435,9.3055,8.115,8.115
426,9.1502,8.4529,8.4529,9.2221,8.5275,8.5275
427,9.1706,8.3217,8.3217,9.2418,8.3955,8.3955
428,9.2571,8.4136,8.4136,9.3278,8.487,8.487
429,9.2342,8.4112,8.4112,9.3032,8.4829,8.4829
430,9.1654,8.3478,8.3478,9.234,8.4189,8.4189
431,9.1321,8.3478,8.3478,9.1979,8.416,8.416
432,9.1491,8.4101,8.4101,9.2152,8.4788,8.4788
433,9.1425,8.3354,8.3354,9.2086,8.404,8.404
434,9.1023,8.7822,8.7822,9.1721,8.8547,8.8547
435,9.1454,8.7856,8.7856,9.2176,8.999,8.999
436,9.2037,8.836,8.836,9.2775,8.9902,8.9902
437,9.2037,8.836,8.836,9.2775,8.9902,8.9902
438,8.9599,8.564,8.564,9.0394,8.7301,8.7301
439,9.3367,8.8537,8.8537,9.4125,8.7312,8.7312
440,9.0707,8.7755,8.7755,9.1441,8.6569,8.6569
441,9.0707,8.7755,8.7755,9.1441,8.6569,8.6569
442,8.9935,8.6968,8.6968,9.0673,8.5776,8.5776
443,9.2032,8.9262,8.9262,9.2721,8.815,8.815
444,9.2164,8.9439,8.9439,9.2841,8.8345,8.8345
445,9.2099,8.938,8.938,9.2775,8.8287,8.8287
446,9.257,9.3679,9.3679,9.3258,9.2568,9.2568
447,9.2001,9.1801,9.1801,9.2695,9.0679,9.0679
448,9.2946,9.2077,9.2077,9.3644,9.0949,9.0949
449,9.2645,9.2054,9.2054,9.3343,9.0926,9.0926
450,9.3156,9.2563,9.2563,9.3857,9.143,9.143
