tier,strategy,avg_retrieve_s,travel_dual_s,busy_total_s,resp_p50_s,resp_p95_s,util,n_down,downtime_s,fails,viol
1,seq,17.46,4897.0,4897.0,,,,0,0.0,0,0
1,near,9.28,2571.0,2571.0,,,,0,0.0,0,0
1,score,9.12,2586.0,2586.0,,,,0,0.0,0,0
1,awra,8.745,2465.5,2465.5,,,,0,0.0,0,0
2,seq,19.423,5473.9,5473.9,,,,0,0.0,0,0
2,near,11.758,3294.2,3294.2,,,,0,0.0,0,0
2,score,11.15,3177.5,3177.5,,,,0,0.0,0,0
2,awra,10.936,3124.5,3124.5,,,,0,0.0,0,0
3,seq,19.423,5473.9,9073.9,134.9,918.0,0.49,1,600.0,0,0
3,near,11.758,3294.2,6894.2,110.9,854.3,0.491,1,600.0,0,0
3,score,11.288,3201.8,6801.8,108.5,862.7,0.49,1,600.0,0,0
3,awra,10.741,3113.1,6713.1,105.3,679.8,0.491,1,600.0,0,0

param,value,note
handle_s,15.0,G1 占位待回填
rho_peak,0.75,G2 占位待回填
rho_off,0.35,G2 占位待回填
freq_sigma,0.3,G3 占位待回填
mtbf_s,3000.0,G4 占位待回填
mttr_s,600.0,G4 占位待回填
cycles,100,
seed,2026,
