density,case,mode,delta,bg,exp_mean,ene_mean,fail_sum,viol_sum
200,uniform,batch,0.05,0.6,10.747,48837.0,0,0
200,uniform,batch,0.05,1.0,11.256,46033.7,0,0
200,uniform,batch,0.05,1.4,11.709,44354.9,0,0
200,uniform,batch,0.1,0.6,10.711,49147.6,0,0
200,uniform,batch,0.1,1.0,11.198,46278.3,0,0
200,uniform,batch,0.1,1.4,11.642,44571.2,0,0
200,uniform,batch,0.15,0.6,10.67,49458.2,0,0
200,uniform,batch,0.15,1.0,11.144,46601.0,0,0
200,uniform,batch,0.15,1.4,11.615,44663.4,0,0
200,uniform,batch,0.2,0.6,10.666,49897.9,0,0
200,uniform,batch,0.2,1.0,11.113,46777.8,0,0
200,uniform,batch,0.2,1.4,11.556,44909.2,0,0
200,skew,online,0.0,0.6,13.963,53771.9,11,0
200,skew,online,0.0,1.0,13.964,53775.9,11,0
200,skew,online,0.0,1.4,13.972,53796.1,11,0
200,skew,online,0.05,0.6,13.68,53749.6,11,0
200,skew,online,0.05,1.0,13.681,53750.0,11,0
200,skew,online,0.05,1.4,13.687,53776.3,11,0
200,skew,online,0.1,0.6,13.578,52819.2,9,0
200,skew,online,0.1,1.0,13.732,53178.2,11,0
200,skew,online,0.1,1.4,13.75,53749.6,11,0
200,skew,online,0.15,0.6,13.455,51999.3,6,0
200,skew,online,0.15,1.0,13.701,52479.6,10,0
200,skew,online,0.15,1.4,13.819,53392.1,10,0
200,skew,online,0.2,0.6,13.509,52630.6,2,0
200,skew,online,0.2,1.0,13.616,52087.1,8,0
200,skew,online,0.2,1.4,13.718,52471.6,10,0
200,skew,batch,0.0,0.6,9.801,42092.4,0,0
200,skew,batch,0.0,1.0,10.423,41803.8,0,0
200,skew,batch,0.0,1.4,10.778,41699.8,0,0
200,skew,batch,0.05,0.6,9.75,42126.3,0,0
200,skew,batch,0.05,1.0,10.411,41810.7,0,0
200,skew,batch,0.05,1.4,10.735,41713.8,0,0
