n_init,p_store,seed,policy,retr,store,resp,dead,leg
120,0.5,2043,demand,35.983,27.885,31.985,3.697,3.946
120,0.5,2043,cog,33.218,35.074,34.134,6.123,6.095
120,0.5,2044,io,34.455,25.946,30.254,3.952,4.139
120,0.5,2044,last,32.833,25.946,29.433,0.0,3.318
120,0.5,2044,center,39.7,45.946,42.784,16.856,16.668
120,0.5,2044,demand,34.455,25.946,30.254,3.952,4.139
120,0.5,2044,cog,31.425,33.669,32.533,6.462,6.418
120,0.5,2045,io,35.273,26.472,30.928,4.192,4.359
120,0.5,2045,last,34.417,26.472,30.495,0.0,3.927
120,0.5,2045,center,40.117,46.472,43.254,16.851,16.686
120,0.5,2045,demand,35.273,26.472,30.928,4.192,4.359
120,0.5,2045,cog,32.315,34.431,33.359,6.87,6.791
120,0.5,2046,io,36.877,27.397,32.197,4.58,4.742
120,0.5,2046,last,35.735,27.397,31.619,0.0,4.163
120,0.5,2046,center,40.852,47.397,44.084,16.79,16.628
120,0.5,2046,demand,36.877,27.397,32.197,4.58,4.742
120,0.5,2046,cog,33.385,35.551,34.454,7.084,6.999
120,0.5,2047,io,37.72,28.482,33.159,4.256,4.491
120,0.5,2047,last,35.002,28.482,31.784,0.0,3.115
120,0.5,2047,center,40.95,48.482,44.668,16.142,16.0
120,0.5,2047,demand,37.72,28.482,33.159,4.256,4.491
120,0.5,2047,cog,33.642,36.533,35.07,6.435,6.401
120,0.5,2048,io,34.305,26.021,30.215,3.976,4.143
120,0.5,2048,last,32.583,26.021,29.343,0.0,3.271
120,0.5,2048,center,39.042,46.021,42.487,16.567,16.415
120,0.5,2048,demand,34.305,26.021,30.215,3.976,4.143
120,0.5,2048,cog,30.8,33.897,32.329,6.325,6.257
120,0.5,2049,io,33.697,26.226,30.009,3.504,3.691
120,0.5,2049,last,32.42,26.226,29.362,0.0,3.044
120,0.5,2049,center,39.943,46.226,43.044,16.911,16.727
120,0.5,2049,demand,33.697,26.226,30.009,3.504,3.691
120,0.5,2049,cog,30.775,33.415,32.078,5.832,5.761
