theta,variant,seed,swap_n,fam_dist_drop,tot_dual,t_link_avg,avg_retr,exp2_final,fails,viol
1.0,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
1.0,corr_link,2053,251,0.6051,3100.217,5.6371,12.3555,23.9979,0,0
0.0,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
0.0,corr,2054,275,0.5995,3367.1934,10.1439,11.3881,24.1059,0,0
0.0,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
0.0,corr_link,2054,275,0.5995,3073.03,6.9492,11.6972,23.5444,0,0
0.5,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
0.5,corr,2054,275,0.5995,3214.6547,8.4277,11.6452,22.9273,0,0
0.5,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
0.5,corr_link,2054,275,0.5995,3051.1537,6.5551,11.7432,23.9041,0,0
1.0,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
1.0,corr,2054,275,0.5995,3063.9077,6.4005,11.8251,24.334,0,0
1.0,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
1.0,corr_link,2054,275,0.5995,2891.2516,5.5556,11.3351,24.9306,0,0
0.0,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
0.0,corr,2055,279,0.6034,3325.0739,9.2926,11.6357,24.4795,0,0
0.0,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
0.0,corr_link,2055,279,0.6034,3085.2636,6.8857,11.7476,24.7896,0,0
0.5,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
0.5,corr,2055,279,0.6034,3265.0124,8.2061,11.887,25.235,0,0
0.5,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
0.5,corr_link,2055,279,0.6034,3072.3274,6.6172,11.8614,25.0591,0,0
1.0,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
1.0,corr,2055,279,0.6034,3053.5538,6.1074,11.9474,25.3246,0,0
1.0,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
1.0,corr_link,2055,279,0.6034,3063.2423,5.5793,12.2224,25.553,0,0
