label,awra_avg_retr,awra_std,seq_avg_retr,drop_pct,diff_ci95,paired_t,sig05,awra_p95,seq_p95,keep_rate_joint_pct,pair_rate_retr_pct,pair_rate_p50_pct,pair_rate_p95_pct,viol_sum,seeds
base:canonical,10.931,0.379,20.583,46.89,-10.10..-9.20,-44.04,***,625.4,885.9,66.7,100.0,96.7,83.3,0,30
G2_rho:low_0.60,10.931,0.379,20.583,46.89,-10.10..-9.20,-44.04,***,485.6,675.0,66.7,100.0,100.0,83.3,0,30
G2_rho:high_0.90,10.931,0.379,20.583,46.89,-10.10..-9.20,-44.04,***,800.9,1116.4,66.7,100.0,86.7,90.0,0,30
G3_sigma:low_0.15,10.897,0.392,20.583,47.06,-10.13..-9.24,-44.24,***,622.7,885.9,60.0,100.0,96.7,83.3,0,30
G3_sigma:high_0.45,10.932,0.395,20.583,46.89,-10.10..-9.20,-43.66,***,614.9,885.9,60.0,100.0,100.0,83.3,0,30
G4_mtbf:harsh_1500,10.931,0.379,20.583,46.89,-10.10..-9.20,-44.04,***,1047.5,1365.2,66.7,100.0,83.3,90.0,0,30
G4_mtbf:mild_6000,10.931,0.379,20.583,46.89,-10.10..-9.20,-44.04,***,482.3,668.2,66.7,100.0,96.7,90.0,0,30
,,,,,,,,,,,,,,,
param,value
RHO_PEAK,0.75
RHO_OFF,0.35
FREQ_SIGMA,0.3
MTBF_S,3000.0
MTTR_S,600.0
HANDLE_S,15.0
cycles,100
seeds,2026..2055
