scenario,seed,selector,strat,exp_t,fail,excess_fail,oracle_strat,oracle_exp,gap_pct,attain_pct
L120_heavy,2029,near,near,7.8521,0,0,tob,4.5546,72.399,58.0
L120_heavy,2029,score,score,7.5376,0,0,tob,4.5546,65.496,60.42
L120_heavy,2029,awra,awra,6.6328,0,0,tob,4.5546,45.629,68.67
L120_heavy,2029,cb,cb,6.3152,0,0,tob,4.5546,38.657,72.12
L120_heavy,2029,tob,tob,4.5546,0,0,tob,4.5546,0.0,100.0
L120_heavy,2030,det_holistic,awra,5.8632,0,0,tob,4.2874,36.753,73.12
L120_heavy,2030,det_lexicographic,tob,4.2874,0,0,tob,4.2874,0.0,100.0
L120_heavy,2030,det_speed,tob,4.2874,0,0,tob,4.2874,0.0,100.0
L120_heavy,2030,random,random,21.0182,0,0,tob,4.2874,390.227,20.4
L120_heavy,2030,seq,seq,21.8222,0,0,tob,4.2874,408.979,19.65
L120_heavy,2030,near,near,7.468,0,0,tob,4.2874,74.183,57.41
L120_heavy,2030,score,score,6.6725,0,0,tob,4.2874,55.628,64.26
L120_heavy,2030,awra,awra,5.8632,0,0,tob,4.2874,36.753,73.12
L120_heavy,2030,cb,cb,5.759,0,0,tob,4.2874,34.323,74.45
L120_heavy,2030,tob,tob,4.2874,0,0,tob,4.2874,0.0,100.0
L120_heavy,2031,det_holistic,awra,4.4545,0,0,tob,3.5394,25.853,79.46
L120_heavy,2031,det_lexicographic,tob,3.5394,0,0,tob,3.5394,0.0,100.0
L120_heavy,2031,det_speed,tob,3.5394,0,0,tob,3.5394,0.0,100.0
L120_heavy,2031,random,random,17.5501,0,0,tob,3.5394,395.845,20.17
L120_heavy,2031,seq,seq,14.9489,0,0,tob,3.5394,322.352,23.68
L120_heavy,2031,near,near,8.9784,0,0,tob,3.5394,153.669,39.42
L120_heavy,2031,score,score,8.419,0,0,tob,3.5394,137.865,42.04
L120_heavy,2031,awra,awra,4.4545,0,0,tob,3.5394,25.853,79.46
L120_heavy,2031,cb,cb,4.6368,0,0,tob,3.5394,31.003,76.33
L120_heavy,2031,tob,tob,3.5394,0,0,tob,3.5394,0.0,100.0
L120_heavy,2032,det_holistic,awra,4.2081,0,0,tob,3.428,22.756,81.46
L120_heavy,2032,det_lexicographic,tob,3.428,0,0,tob,3.428,0.0,100.0
L120_heavy,2032,det_speed,tob,3.428,0,0,tob,3.428,0.0,100.0
L120_heavy,2032,random,random,14.1828,0,0,tob,3.428,313.734,24.17
L120_heavy,2032,seq,seq,19.4418,0,0,tob,3.428,467.148,17.63
L120_heavy,2032,near,near,10.0919,0,0,tob,3.428,194.396,33.97
L120_heavy,2032,score,score,9.4955,0,0,tob,3.428,176.998,36.1
L120_heavy,2032,awra,awra,4.2081,0,0,tob,3.428,22.756,81.46
L120_heavy,2032,cb,cb,4.424,0,0,tob,3.428,29.054,77.49
L120_heavy,2032,tob,tob,3.428,0,0,tob,3.428,0.0,100.0
L120_heavy,2033,det_holistic,awra,6.2338,0,0,tob,4.2831,45.545,68.71
L120_heavy,2033,det_lexicographic,tob,4.2831,0,0,tob,4.2831,0.0,100.0
L120_heavy,2033,det_speed,tob,4.2831,0,0,tob,4.2831,0.0,100.0
L120_heavy,2033,random,random,18.1274,0,0,tob,4.2831,323.232,23.63
L120_heavy,2033,seq,seq,16.4989,0,0,tob,4.2831,285.212,25.96
L120_heavy,2033,near,near,7.7783,0,0,tob,4.2831,81.605,55.06
L120_heavy,2033,score,score,6.7409,0,0,tob,4.2831,57.385,63.54
L120_heavy,2033,awra,awra,6.2338,0,0,tob,4.2831,45.545,68.71
L120_heavy,2033,cb,cb,5.7591,0,0,tob,4.2831,34.462,74.37
L120_heavy,2033,tob,tob,4.2831,0,0,tob,4.2831,0.0,100.0
L120_heavy,2034,det_holistic,awra,5.4652,0,0,tob,3.9613,37.965,72.48
L120_heavy,2034,det_lexicographic,tob,3.9613,0,0,tob,3.9613,0.0,100.0
L120_heavy,2034,det_speed,tob,3.9613,0,0,tob,3.9613,0.0,100.0
L120_heavy,2034,random,random,17.0434,0,0,tob,3.9613,330.247,23.24
L120_heavy,2034,seq,seq,23.3661,0,0,tob,3.9613,489.858,16.95
L120_heavy,2034,near,near,10.699,0,0,tob,3.9613,170.089,37.02
L120_heavy,2034,score,score,10.6154,0,0,tob,3.9613,167.979,37.32
L120_heavy,2034,awra,awra,5.4652,0,0,tob,3.9613,37.965,72.48
L120_heavy,2034,cb,cb,5.2851,0,0,tob,3.9613,33.417,74.95
L120_heavy,2034,tob,tob,3.9613,0,0,tob,3.9613,0.0,100.0
L120_heavy,2035,det_holistic,awra,5.2665,0,0,tob,4.5245,16.399,85.91
L120_heavy,2035,det_lexicographic,tob,4.5245,0,0,tob,4.5245,0.0,100.0
L120_heavy,2035,det_speed,tob,4.5245,0,0,tob,4.5245,0.0,100.0
L120_heavy,2035,random,random,20.2996,0,0,tob,4.5245,348.662,22.29
L120_heavy,2035,seq,seq,18.9475,0,0,tob,4.5245,318.779,23.88
L120_heavy,2035,near,near,8.4559,0,0,tob,4.5245,86.892,53.51
L120_heavy,2035,score,score,7.9043,0,0,tob,4.5245,74.701,57.24
L120_heavy,2035,awra,awra,5.2665,0,0,tob,4.5245,16.399,85.91
L120_heavy,2035,cb,cb,6.0835,0,0,tob,4.5245,34.458,74.37
L120_heavy,2035,tob,tob,4.5245,0,0,tob,4.5245,0.0,100.0
L120_heavy,2036,det_holistic,awra,5.1155,0,0,tob,4.2218,21.17,82.53
L120_heavy,2036,det_lexicographic,tob,4.2218,0,0,tob,4.2218,0.0,100.0
L120_heavy,2036,det_speed,tob,4.2218,0,0,tob,4.2218,0.0,100.0
L120_heavy,2036,random,random,17.0789,0,0,tob,4.2218,304.541,24.72
L120_heavy,2036,seq,seq,15.8717,0,0,tob,4.2218,275.946,26.6
L120_heavy,2036,near,near,7.9649,0,0,tob,4.2218,88.661,53.01
L120_heavy,2036,score,score,7.3607,0,0,tob,4.2218,74.349,57.36
L120_heavy,2036,awra,awra,5.1155,0,0,tob,4.2218,21.17,82.53
L120_heavy,2036,cb,cb,5.7798,0,0,tob,4.2218,36.904,73.04
L120_heavy,2036,tob,tob,4.2218,0,0,tob,4.2218,0.0,100.0
L120_heavy,2037,det_holistic,awra,6.1829,0,0,tob,5.3504,15.56,86.54
L120_heavy,2037,det_lexicographic,tob,5.3504,0,0,tob,5.3504,0.0,100.0
L120_heavy,2037,det_speed,tob,5.3504,0,0,tob,5.3504,0.0,100.0
L120_heavy,2037,random,random,16.1643,0,0,tob,5.3504,202.115,33.1
L120_heavy,2037,seq,seq,20.8682,0,0,tob,5.3504,290.031,25.64
L120_heavy,2037,near,near,9.2562,0,0,tob,5.3504,73.0,57.8
