scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_uniform,2026,random,120,0,4606.0,19.401917332012623,21.9375,7.166666666666667,48077.3,8.850917726762274,4564.0,0.6325,0
L120_uniform,2026,seq,120,0,4529.0,19.38899316410255,18.708333333333332,4.333333333333333,44966.60000000002,8.278245181244134,3208.0,0.6325,0
L120_uniform,2026,near,120,0,2196.0,9.250442424835095,9.416666666666666,4.041666666666667,21365.0,3.9332461937811813,3240.0,0.6325,0
L120_uniform,2026,score,120,0,2196.0,8.920343025144872,9.0625,4.083333333333333,21397.700000000004,3.9392661867854715,3240.0,0.6325,0
L120_uniform,2026,awra,120,0,2196.0,7.343842960476712,4.020833333333333,0.8333333333333334,16930.1,3.116791546236123,3240.0,0.6325,0
L120_uniform,2026,cb,120,0,3445.0,9.738548215632022,3.4166666666666665,6.125,34922.0,6.429057972348531,3772.0,0.6325,0
L120_uniform,2026,tob,120,0,2196.0,6.956476752585936,3.4166666666666665,4.041666666666667,21155.0,3.8945856882490455,3240.0,0.6325,0
L120_uniform,2027,random,120,0,4148.0,17.580968360337614,15.791666666666666,6.916666666666667,41634.69999999999,7.931325484817308,4412.0,0.6325,0
L120_uniform,2027,seq,120,0,4529.0,19.041204751321118,20.4375,4.083333333333333,45233.79999999999,8.61694669867032,3208.0,0.6325,0
L120_uniform,2027,near,120,0,2196.0,9.50063369973208,10.520833333333334,4.875,22333.10000000001,4.254410027812703,3240.0,0.6325,0
L120_uniform,2027,score,120,0,2196.0,9.27826720473789,10.166666666666666,4.791666666666667,21721.10000000001,4.137825275269555,3240.0,0.6325,0
L120_uniform,2027,awra,120,0,2196.0,7.508113874582851,3.8541666666666665,0.6666666666666666,15873.4,3.0238503448013097,3240.0,0.6325,0
L120_uniform,2027,cb,120,0,3323.0,9.666208108670695,3.4166666666666665,3.9583333333333335,31678.10000000001,6.034613479635766,3774.0,0.6325,0
L120_uniform,2027,tob,120,0,2196.0,6.982571159024222,3.4166666666666665,4.083333333333333,21350.4,4.067207680877813,3240.0,0.6325,0
L120_uniform,2028,random,120,0,4647.0,19.13613588952738,15.75,7.083333333333333,43959.40000000001,8.97460291535666,4578.0,0.6325,0
L120_uniform,2028,seq,120,0,4529.0,18.12196846564369,16.666666666666668,5.291666666666667,43013.99999999999,8.781593238332444,3208.0,0.6325,0
