scenario,seed,n,density,skew,w_mean,w_heavy
tiny_light,2036,20,0.075,0.847,15.7,0.0
tiny_light,2037,20,0.075,0.622,12.6,0.0
tiny_light,2038,20,0.075,0.397,13.6,0.0
tiny_light,2039,20,0.075,0.796,17.4,0.0
tiny_light,2040,20,0.075,0.818,14.6,0.0
tiny_light,2041,20,0.075,0.475,13.7,0.0
tiny_light,2042,20,0.075,0.575,13.8,0.0
tiny_light,2043,20,0.075,0.788,16.8,0.0
tiny_light,2044,20,0.075,0.766,14.4,0.0
tiny_light,2045,20,0.075,0.855,16.1,0.0
tiny_light,2046,20,0.075,0.552,15.2,0.0
tiny_light,2047,20,0.075,0.393,14.7,0.0
tiny_light,2048,20,0.075,0.637,14.1,0.0
tiny_light,2049,20,0.075,0.806,14.0,0.0
tiny_light,2050,20,0.075,0.457,15.5,0.0
tiny_light,2051,20,0.075,0.552,15.7,0.0
tiny_light,2052,20,0.075,0.556,15.2,0.0
tiny_light,2053,20,0.075,0.377,14.3,0.0
tiny_light,2054,20,0.075,0.554,15.1,0.0
tiny_light,2055,20,0.075,0.814,12.8,0.0
light_sparse,2026,60,0.225,0.505,15.7,0.0
light_sparse,2027,60,0.225,0.444,14.5,0.0
light_sparse,2028,60,0.225,0.738,14.7,0.0
light_sparse,2029,60,0.225,0.695,15.2,0.0
light_sparse,2030,60,0.225,0.731,15.9,0.0
light_sparse,2031,60,0.225,0.79,16.2,0.0
light_sparse,2032,60,0.225,0.766,16.0,0.0
light_sparse,2033,60,0.225,0.759,15.8,0.0
light_sparse,2034,60,0.225,0.49,14.9,0.0
light_sparse,2035,60,0.225,0.727,15.8,0.0
light_sparse,2036,60,0.225,0.769,15.5,0.0
light_sparse,2037,60,0.225,0.583,14.2,0.0
light_sparse,2038,60,0.225,0.699,14.2,0.0
light_sparse,2039,60,0.225,0.664,16.9,0.0
light_sparse,2040,60,0.225,0.769,14.8,0.0
light_sparse,2041,60,0.225,0.559,15.3,0.0
light_sparse,2042,60,0.225,0.664,15.5,0.0
light_sparse,2043,60,0.225,0.766,15.1,0.0
light_sparse,2044,60,0.225,0.768,14.0,0.0
light_sparse,2045,60,0.225,0.786,15.5,0.0
light_sparse,2046,60,0.225,0.601,15.1,0.0
light_sparse,2047,60,0.225,0.621,15.2,0.0
light_sparse,2048,60,0.225,0.556,13.6,0.0
light_sparse,2049,60,0.225,0.784,15.0,0.0
light_sparse,2050,60,0.225,0.458,15.3,0.0
light_sparse,2051,60,0.225,0.639,15.7,0.0
light_sparse,2052,60,0.225,0.695,14.7,0.0
light_sparse,2053,60,0.225,0.707,15.3,0.0
light_sparse,2054,60,0.225,0.642,15.4,0.0
light_sparse,2055,60,0.225,0.659,13.2,0.0
light_full,2026,120,0.449,0.562,15.7,0.0
light_full,2027,120,0.449,0.609,15.3,0.0
light_full,2028,120,0.449,0.725,14.6,0.0
light_full,2029,120,0.449,0.663,14.4,0.0
light_full,2030,120,0.449,0.694,15.2,0.0
light_full,2031,120,0.449,0.789,15.8,0.0
light_full,2032,120,0.449,0.815,16.3,0.0
light_full,2033,120,0.449,0.698,15.8,0.0
light_full,2034,120,0.449,0.721,15.1,0.0
light_full,2035,120,0.449,0.686,15.3,0.0
light_full,2036,120,0.449,0.68,15.2,0.0
light_full,2037,120,0.449,0.583,14.9,0.0
light_full,2038,120,0.449,0.636,14.9,0.0
light_full,2039,120,0.449,0.642,16.3,0.0
light_full,2040,120,0.449,0.721,14.6,0.0
light_full,2041,120,0.449,0.603,15.3,0.0
light_full,2042,120,0.449,0.657,15.2,0.0
light_full,2043,120,0.449,0.684,14.6,0.0
light_full,2044,120,0.449,0.737,14.4,0.0
light_full,2045,120,0.449,0.708,14.7,0.0
light_full,2046,120,0.449,0.564,14.9,0.0
light_full,2047,120,0.449,0.688,14.9,0.0
light_full,2048,120,0.449,0.581,14.3,0.0
light_full,2049,120,0.449,0.753,15.2,0.0
light_full,2050,120,0.449,0.566,15.2,0.0
light_full,2051,120,0.449,0.606,15.2,0.0
light_full,2052,120,0.449,0.64,14.8,0.0
light_full,2053,120,0.449,0.749,15.0,0.0
light_full,2054,120,0.449,0.611,15.3,0.0
light_full,2055,120,0.449,0.615,14.0,0.0
flat_info,2026,120,0.449,0.23,45.3,0.267
flat_info,2027,120,0.449,0.231,43.7,0.283
flat_info,2028,120,0.449,0.232,40.8,0.25
flat_info,2029,120,0.449,0.233,40.3,0.267
flat_info,2030,120,0.449,0.232,43.2,0.242
flat_info,2031,120,0.449,0.232,45.3,0.342
flat_info,2032,120,0.449,0.234,47.2,0.333
flat_info,2033,120,0.449,0.235,45.4,0.342
flat_info,2034,120,0.449,0.233,42.7,0.3
flat_info,2035,120,0.449,0.233,43.7,0.242
flat_info,2036,120,0.449,0.232,43.4,0.25
flat_info,2037,120,0.449,0.229,42.0,0.283
